val1,val2,lab1,lab2
4.100707,1.318163,0,1
13.761268,8.860129,0,1
13.380063,7.965986,0,1
3.690094,2.40857,0,1
11.601007,7.128505,0,1
3.211998,1.806447,0,1
14.506234,8.933948,0,1
3.120883,1.521423,0,1
7.943575,4.130856,0,1
9.140401,5.622217,0,1
5.149168,2.438958,0,1
5.080833,0.398627,0,1
5.134297,2.486436,0,1
11.737277,1.811441,0,1
14.246051,0,0,1
4.956636,3.029637,0,1
4.982696,2.389168,0,1
3.215745,1.764179,0,1
9.912036,2.04482,0,1
8.767704,5.341987,0,1
5.031388,13.403675,0,1
8.068679,4.964581,0,1
2.365855,2.031608,0,1
10.086854,6.137605,0,1
7.139265,4.414487,0,1
4.713929,2.966067,0,1
4.167668,2.597258,0,1
5.899864,3.692085,0,1
9.678415,4.472723,0,1
2.859565,1.716781,0,1
8.364927,4.572428,0,1
1.110214,8.816143,0,1
8.696198,5.246581,0,1
15.046171,8.866791,0,1
4.124891,2.566743,0,1
4.508365,2.326011,0,1
5.717382,3.328208,0,1
5.265025,3.344119,0,1
16.2557,10.088484,0,1
6.880058,3.835331,0,1
14.599622,8.620817,0,1
4.526205,2.922885,0,1
9.834982,4.319344,0,1
9.073137,5.327423,0,1
11.265373,7.070255,0,1
5.751929,3.69214,0,1
13.215125,4.895658,0,1
8.209903,3.660116,0,1
6.568768,4.052875,0,1
11.250377,6.972731,0,1
10.719456,6.531561,0,1
16.278519,9.735116,0,1
10.0928,6.161677,0,1
13.590379,6.03116,0,1
13.848721,8.144676,0,1
13.863764,8.222992,0,1
10.870923,5.967089,0,1
3.972079,2.519885,0,1
4.240141,2.69579,0,1
2.82247,2.090604,0,1
9.878486,6.244488,0,1
10.648068,2.67939,0,1
6.151804,13.183844,0,1
9.128516,5.759343,0,1
9.445803,5.579489,0,1
10.679416,6.71457,0,1
6.457748,3.842687,0,1
6.529105,2.183688,0,1
3.502296,1.831381,0,1
2.472373,11.142204,0,1
3.820828,10.410037,0,1
